"sample_names","Sample ID","Number of Spots Under Tissue","Number of Reads","Mean Reads per Spot","Mean Reads Under Tissue per Spot","Fraction of Spots Under Tissue","Median Genes per Spot","Median UMI Counts per Spot","Valid Barcodes","Valid UMIs","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Spots Under Tissue","Total Genes Detected"
"1","10X001","AKK006_II_healthycontrol_V19T05022_rep2",4279,602166415,140725.967515775,131332.467165226,0.857171474358974,1762,5373,0.9687192634282,0.999057160967704,0.93847491713212,0.956411190800126,0.939593339964267,0.956222538002289,0.934240028979364,0.890403165377465,0.0922001603161478,0.076133256285972,0.722069748775345,0.69802950069874,0.0115521703414828,0.968142967236011,22519
"2","10X0017","AKK002_Infarct_MI_acute_V19T05025_rep2",3778,499151233,132120.495764955,123059.179460032,0.756810897435897,2043,4155.5,0.970528883778196,0.997516472126996,0.91369147491515,0.956853890335437,0.939544878467365,0.957220077349074,0.889554665289187,0.83046887114471,0.127304407560183,0.0312861212545577,0.671878342329969,0.653662498315415,0.00838563890715662,0.968374304774359,22042
"3","10X0018","AKK003_No9II_infarct_V19T05023_rep2",4278,568797537,132958.751051893,126048.574801309,0.856971153846154,1120.5,2690,0.970851341784203,0.998423639446948,0.934033949614684,0.958209460173888,0.940910999248666,0.958606801866562,0.937917097555927,0.903301393866619,0.0409651984832698,0.0198901546931277,0.842446040690222,0.820130420149833,0.0100385139325946,0.981780214354425,22578
"4","10X0020","AKK002_Normal_MI_acute_V19T05026_rep1",2995,469665707,156816.596661102,138958.159265442,0.599959935897436,3171,12539,0.973086772545648,0.999345956080204,0.877310019872538,0.958590184588642,0.944629630024705,0.958707024363011,0.944656116866544,0.90439865135821,0.0924931826031744,0.0296269129140399,0.782278555840995,0.760217309202011,0.00955109758524482,0.916310147025081,22582
"5","10X0025","AKK003_No4_borderzone_V19T05023_rep2",3377,529178595,156700.798045603,145308.302635475,0.676482371794872,2412,10151,0.972492071414944,0.999602618091535,0.90786280583997,0.959584733359096,0.940632045283588,0.959160264930648,0.959505922570432,0.922341259853868,0.0680873609409693,0.0295058363046601,0.824748062608239,0.798606094413173,0.0128580011820017,0.957237537511375,22417
"6","10X0026","AKK002_Borderzone_MI_acute_V19T05025_rep2",4662,444691743,95386.4742599743,91289.0821535822,0.933894230769231,2977,11269,0.971495992000013,0.999373374917825,0.840847137398625,0.958760428994925,0.941435296867953,0.958743716350201,0.957525352567655,0.921064133632902,0.0776739855050558,0.0288124306369233,0.814577717490923,0.791683734950752,0.0112381488495504,0.986332748211194,23109
"7","10X0027","AKK001_No2_Fibrotic_chronic_late_V19T05026_rep2",3086,479823494,155483.957874271,137239.629941672,0.618189102564103,2091.5,6554.5,0.971954247409152,0.999193361715631,0.926539590984238,0.956869453465483,0.944257625781986,0.956763766811202,0.93087133828424,0.867676898288769,0.0901731939787008,0.0469235485163634,0.730580155793705,0.708418427297768,0.0099962445773862,0.921478564825356,22159
"8","10X009","AKK004_wo2_postMI_chronic_V19T05022_rep1",4534,458031025,101021.399426555,92598.3400970446,0.908253205128205,685,3231,0.974244373511598,0.99911452504773,0.929010172270932,0.959575920737904,0.94465536971311,0.959338657572122,0.920771434642446,0.738502903815304,0.14086370022642,0.0215381523555091,0.576101051233374,0.55907992695473,0.00838811519372514,0.957667569015315,21309
"9","ACH0010","Visium_11_CK289",2960,240715834,81322.9168918919,71969.6641891892,0.592948717948718,1084.5,1875,0.973762814456152,0.999585058455274,0.945940797035218,0.950385776533327,0.918715287899197,0.945603228978774,0.895803730136008,0.8541595190618,0.0156844937753451,0.0396905631060398,0.798784462180415,0.782749571845781,0.00662687606998051,0.913468232311319,20302
"10","ACH0011","Visium_18_CK296",3580,208251086,58170.6944134078,54589.8276536313,0.717147435897436,3624.5,11864.5,0.966073785564796,0.999780610988026,0.750830512417244,0.951635720572154,0.926367711046024,0.947524989575405,0.971303381342271,0.94560360660016,0.0358499210899673,0.0263211688605552,0.883432516649637,0.863916503177323,0.00866380115780045,0.972468488927744,23477
"11","ACH0012","Visium_9_CK287",4451,303166309,68111.9543922714,65526.0993035273,0.891626602564103,2067,5401,0.974226100433871,0.999571918131576,0.887826651369069,0.9481104342154,0.92636735353383,0.941369449082034,0.929655131962569,0.87802206280118,0.0483968850245823,0.0276195466033793,0.802005631173219,0.779107136868563,0.0105653131793085,0.988325976927824,22429
"12","ACH0013","Visium_19_CK297",4281,327173356,76424.5167017052,71825.5388927821,0.857572115384615,3522,10640,0.967129004233462,0.999429754909504,0.807389627744393,0.950254738525229,0.923578250088088,0.942489280915624,0.916039865422293,0.890837311947859,0.0226559157830688,0.0366277014317755,0.831553694733015,0.813242228074342,0.00742392971633057,0.974400052099834,24182
"13","ACH0014","Visium_7_CK285",3656,203861182,55760.7171772429,52226.0733041576,0.732371794871795,2387.5,6417,0.973423498545201,0.999720976796848,0.828996287567232,0.951251506218788,0.915555006407745,0.946866624604809,0.955999587994148,0.894553584016794,0.0711878684192069,0.0454520174419473,0.77791369815564,0.76003141196346,0.00684821890221357,0.973831897471875,22205
"14","ACH0015","Visium_20_CK298",3120,192241116,61615.7423076923,54545.1173076923,0.625,3298.5,8966.5,0.966044319051914,0.999230560022342,0.749350996623338,0.950400887428471,0.929509545069398,0.945769944544853,0.86061912478702,0.827682221736582,0.034853106033779,0.0399455754303882,0.752883540272415,0.73688608320397,0.00569194053159783,0.921890889213384,22996
"15","ACH0016","Visium_15_CK293",4365,248985147,57041.270790378,53546.3589919817,0.874399038461538,629,951,0.972913757783311,0.999524794946905,0.922648673247549,0.950988941621547,0.92538697687454,0.94551845065953,0.899562145367651,0.869648682296699,0.0346919007180778,0.0233621807167477,0.811594600861874,0.794744844759756,0.00653738594294542,0.96742455881217,21131
"16","ACH0019","Visium_8_CK286",2029,149565154,73713.7279448004,63057.6071956629,0.406450320512821,1502,3209,0.973434152984592,0.999447264300614,0.912605291130007,0.950696073961,0.926946151116062,0.946252611089295,0.933073642273654,0.839170954218387,0.104181379039666,0.0799881769252215,0.6550013982535,0.637509115258224,0.00612755695755176,0.915762221107035,19976
"17","ACH002","Visium_1_CK279",2049,106791737,52118.9541239629,45946.663738409,0.410456730769231,1629,5847,0.973725083243098,0.999775928356704,0.816895969048701,0.952330928325591,0.929826567579906,0.948807539288379,0.955146417367478,0.87843797315517,0.121681390012413,0.0301297842922061,0.726626798850551,0.705244657646125,0.0084170557128404,0.924183205051948,19264
"18","ACH0021","Visium_2_CK280",2822,178288457,63178.0499645641,58609.7781715096,0.565304487179487,1778,6224,0.973843270178731,0.999761902701306,0.842894368370363,0.952595171991306,0.92388714062562,0.947879330088818,0.946974738807684,0.870012958831092,0.128479372054917,0.0416513111670488,0.699882275609127,0.678902768225763,0.00880384533251079,0.962300320435124,20668
"19","ACH0022","Visium_17_CK295",3535,355481192,100560.450353607,92961.2913719944,0.708133012820513,2242,8685,0.966097880081374,0.999701708550589,0.859949687469663,0.95203725329706,0.923075650334225,0.947861083784556,0.924571263955928,0.870563202679932,0.101428842963934,0.0346929043717171,0.734441455344282,0.710582755669391,0.0117392117892977,0.956918571298984,21737
"20","ACH0023","Visium_6_CK284",3642,213581273,58643.9519494783,55089.1158704009,0.729567307692308,1544,3403,0.97225913622118,0.999473319929131,0.906411196343422,0.951050647983886,0.923307675222751,0.946508263685973,0.950049735867994,0.873987781690954,0.0804138666220985,0.0832493165259859,0.710324598542869,0.690280013454176,0.00792478186980373,0.972787910338108,21760
"21","ACH0024","Visium_10_CK288",3420,248523337,72667.6423976608,67925.4774853801,0.685096153846154,1683,6405.5,0.974277993056242,0.999855124269476,0.876106734502911,0.953299255155815,0.926047471240678,0.949171400354793,0.962136734869289,0.918579807255686,0.0792302092740691,0.0155438722440782,0.823805725737539,0.801220148593128,0.0107578790477934,0.960478370650848,20664
"22","ACH0028","Visium_5_CK283",3562,187451642,52625.3907916901,49359.7768107805,0.713541666666667,1546,4205.5,0.972849168213741,0.999569686351427,0.876760710348636,0.953119345416009,0.917056085381998,0.949040021086097,0.945143841418044,0.879916730737413,0.0849861267152837,0.0639908718430965,0.730939732179033,0.710896296123136,0.00838686171658075,0.97173658409997,21380
"23","ACH003","Visium_3_CK281",2936,208781838,71110.9802452316,65897.8508174387,0.588141025641026,1644,5133.5,0.974587483035761,0.999818700705183,0.895246516941649,0.949479552819989,0.927516792525957,0.943669763606125,0.970952051873401,0.90703809686741,0.0823449403678494,0.0375038177410815,0.78718933875848,0.766745668749214,0.00759066504625752,0.958781666417513,21199
"24","ACH004","Visium_4_CK282",2461,127572306,51837.5887850467,47162.0772043885,0.492988782051282,1774,5791,0.975442311123544,0.999808124499999,0.829672707253462,0.950866127407543,0.918912222763715,0.946853235994133,0.95840180234729,0.893445948997739,0.120524395004665,0.0286098692924779,0.744311684700596,0.725681834112178,0.00662951879226828,0.944676705953423,19864
"25","ACH005","Visium_12_CK290",3193,171196834,53616.2962730974,49633.4713435641,0.639623397435897,1454,3573,0.974491473364513,0.999378978001427,0.881945420064914,0.950892737482772,0.926613460960636,0.945381888873647,0.926842169289182,0.88338650585092,0.0561534157810418,0.0252639543556045,0.801969135714274,0.780871438311762,0.00905867219483744,0.951031451920348,20917
"26","ACH006","Visium_13_CK291",2803,217155338,77472.4716375312,69484.7916518016,0.561498397435897,891,1747,0.973899425857079,0.999779710688024,0.955171156653654,0.952869851104333,0.920748175089323,0.948216976309196,0.953951350714667,0.905544021211212,0.070904027236024,0.0239391812694008,0.810700812705788,0.789828753829666,0.00943202234337891,0.928470609657082,19712
"27","ACH007","Visium_16_CK294",4262,260936933,61224.0574847489,56567.1299859221,0.853766025641026,551.5,776,0.972492134718239,0.999693489154331,0.955500682949657,0.952158361069111,0.929748879950386,0.94663978536042,0.90088021384079,0.842353447145023,0.0722175844689644,0.0264990582992711,0.743636804376788,0.720466646245129,0.0113979840485057,0.953284125299403,20242
"28","ACH008","Visium_14_CK292",3242,243377465,75070.1619370759,68583.265885256,0.649439102564103,1230,2302.5,0.973434200245286,0.99970647241313,0.948692646944372,0.950835379765366,0.927534763168385,0.946085319765206,0.9438636358547,0.884964431690502,0.0440336947383358,0.0313092052298268,0.809621531722339,0.792088108897017,0.00630813128076587,0.943164868262164,20395
